Tarih,Fiyat,Fiyat_Sayisal,Konum,Detaylar,URL
2025-12-14 19:27:09,27.500 TL,27.5,Sultanbeyli - Hamidiye Mahallesi,,https://www.emlakjet.com/ilan/cevik-yapi-emlaktan-kiralik-daire-31-18616381
2025-12-14 19:27:10,32.000 TL,32.0,Çekmeköy - Mimar Sinan Mahallesi,,https://www.emlakjet.com/ilan/cavusbasi-cd-ne-paralel-21-mustakil-terasli-keyifli-daire-18588068
2025-12-14 19:27:10,20.000 TL,20.0,Küçükçekmece - Söğütlü Çeşme Mahallesi,,https://www.emlakjet.com/ilan/evalmak-tan-sogutlcesme-mah-de-kiralik-11-acik-mutfak-daire-18585069
2025-12-14 19:27:10,52.000 TL,52.0,Kartal - Orhantepe Mahallesi,,https://www.emlakjet.com/ilan/kartal-dragos-ta-prava-sitesinde-sahane-21-kiralik-dairemiz-18583321
2025-12-14 19:27:10,50.000 TL,50.0,Şişli - 19 Mayıs Mahallesi,,https://www.emlakjet.com/ilan/sisli-19-mayis-da-yeni-bina-da-esyali-firsat-11-daire-18582973
2025-12-14 19:27:10,İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL,32.0,Kağıthane - Telsizler Mahallesi,,https://www.emlakjet.com/ilan/esyalicadde-ye-20m-mesaf-levent-e-ve-ulasim-a-yakin-arakt-11-18559081
2025-12-14 19:27:11,23.000 TL,23.0,Kağıthane - Telsizler Mahallesi,,https://www.emlakjet.com/ilan/merkezi-lokasyonda-ulasim-sorunu-olmayan-arakat-ayri-mutfakli21-18559075
2025-12-14 19:27:11,27.500 TL,27.5,Şişli - Gülbahar Mahallesi,,https://www.emlakjet.com/ilan/levent-ve-gayrettepe-ye-yakin-yeni-binada-11-daire-18559048
2025-12-14 19:27:11,40.000 TL,40.0,Şişli - Mecidiyeköy Mahallesi,,https://www.emlakjet.com/ilan/mecidiyekoy-de-metro-metrobuse-3-dk-21-full-esyali-daire-18559044
2025-12-14 19:27:11,90.000 TL,90.0,Sarıyer - Maslak Mahallesi,,https://www.emlakjet.com/ilan/aylik-odeme-mashattan-21-kiralik-havuz-cephe-daire-18558327
2025-12-14 19:27:11,25.000 TL,25.0,Fatih - Haseki Sultan Mahallesi,,https://www.emlakjet.com/ilan/fatih-cerrahpasa-mah-merkezi-konumda-esyali-21-kiralik-daire-18547071
2025-12-14 19:27:11,18.000 TL,18.0,Sancaktepe - Abdurrahmangazi Mahallesi,,https://www.emlakjet.com/ilan/21-kiralik-temiz-ferah-daire-18544452
2025-12-14 19:27:12,115.000 TL,115.0,Sarıyer - Maslak Mahallesi,,https://www.emlakjet.com/ilan/maslak-1453-31-esyali-yuksek-tavan-firsat-daire-18543816
2025-12-14 19:27:12,55.000 TL,55.0,Sarıyer - Huzur Mahallesi,,https://www.emlakjet.com/ilan/skyland-istanbul-10-yuksek-kat-temiz-kiralik-18543807
2025-12-14 19:27:12,"35.000 TL
37.500 TL",,Kartal - Hürriyet Mahallesi,,https://www.emlakjet.com/ilan/selective-evlerinde-11-65-m2-esyali-arakat-daire-18427116
