Tarih,Fiyat,Fiyat_Sayisal,Fiyat_Per_m2,Semt,Mahalle,Konum,Oda_Sayisi,Brut_Alan_m2,Brut_Alan_m2_Numeric,Kat,Detaylar,URL
2025-12-14 21:35:49,27.500 TL,27.5,0.21,Sultanbeyli - Hamidiye Mahallesi,,Sultanbeyli - Hamidiye Mahallesi,3+1,130,130,3,"ÖNE ÇIKAN
YENİ
Çevik Yapı Emlaktan Kiralık Daire 3+1
Sultanbeyli - Hamidiye Mahallesi
Daire | 3+1 | 3. Kat | 130 m²
27.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/cevik-yapi-emlaktan-kiralik-daire-31-18616381
2025-12-14 21:35:49,32.000 TL,32.0,0.29,Çekmeköy - Mimar Sinan Mahallesi,,Çekmeköy - Mimar Sinan Mahallesi,2+1,110,110,,"ÖNE ÇIKAN
Çavuşbaşı Cd.'ne Paralel ,2+1 , Müstakil Teraslı , Keyifli Daire
Çekmeköy - Mimar Sinan Mahallesi
Daire | 2+1 | Bahçe katı | 110 m²
32.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/cavusbasi-cd-ne-paralel-21-mustakil-terasli-keyifli-daire-18588068
2025-12-14 21:35:49,20.000 TL,20.0,0.33,Küçükçekmece - Söğütlü Çeşme Mahallesi,,Küçükçekmece - Söğütlü Çeşme Mahallesi,1+1,60,60,Zemin,"ÖNE ÇIKAN
Evalmak'tan Söğütlçeşme Mah.de Kiralık 1+1 Açık Mutfak Daire
Küçükçekmece - Söğütlü Çeşme Mahallesi
Daire | 1+1 | Yüksek giriş | 60 m²
20.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/evalmak-tan-sogutlcesme-mah-de-kiralik-11-acik-mutfak-daire-18585069
2025-12-14 21:35:49,52.000 TL,52.0,0.69,Kartal - Orhantepe Mahallesi,,Kartal - Orhantepe Mahallesi,2+1,75,75,3,"Aramanıza uygun yeni bir ilan yayınlandığında ilk sizin haberiniz olsun.
Aramayı Kaydet
ÖNE ÇIKAN
Kartal Dragos'ta Prava Sitesinde Şahane 2+1 Kiralık Dairemiz
Kartal - Orhantepe Mahallesi
Daire | 2+1 | 3. Kat | 75 m²
52.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/kartal-dragos-ta-prava-sitesinde-sahane-21-kiralik-dairemiz-18583321
2025-12-14 21:35:50,50.000 TL,50.0,0.83,Şişli - 19 Mayıs Mahallesi,,Şişli - 19 Mayıs Mahallesi,1+1,60,60,3,"ÖNE ÇIKAN
Şişli-19 Mayıs'da Yeni Bina'da Eşyalı Fırsat 1+1 Daire
Şişli - 19 Mayıs Mahallesi
Daire | 1+1 | 3. Kat | 60 m²
50.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/sisli-19-mayis-da-yeni-bina-da-esyali-firsat-11-daire-18582973
2025-12-14 21:35:50,İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL,32.0,0.64,Kağıthane - Telsizler Mahallesi,,Kağıthane - Telsizler Mahallesi,1+1,50,50,3,"İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL
Bölge Raporunu İncele
ÖNE ÇIKAN
+eşyalı+cadde'ye 20m Mesaf Levent'e Ve Ulaşım'a Yakın Arakt 1+1
Kağıthane - Telsizler Mahallesi
Daire | 1+1 | 3. Kat | 50 m²
26.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/esyalicadde-ye-20m-mesaf-levent-e-ve-ulasim-a-yakin-arakt-11-18559081
2025-12-14 21:35:50,23.000 TL,23.0,0.29,Kağıthane - Telsizler Mahallesi,,Kağıthane - Telsizler Mahallesi,2+1,80,80,4,"ÖNE ÇIKAN
Merkezi Lokasyonda Ulaşım Sorunu Olmayan Arakat Ayrı Mutfaklı2+1
Kağıthane - Telsizler Mahallesi
Daire | 2+1 | 4. Kat | 80 m²
23.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/merkezi-lokasyonda-ulasim-sorunu-olmayan-arakat-ayri-mutfakli21-18559075
2025-12-14 21:35:50,27.500 TL,27.5,0.46,Şişli - Gülbahar Mahallesi,,Şişli - Gülbahar Mahallesi,1+1,60,60,4,"ÖNE ÇIKAN
Levent Ve Gayrettepe'ye Yakın Yeni Binada 1+1 Daire
Şişli - Gülbahar Mahallesi
Daire | 1+1 | 4. Kat | 60 m²
27.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/levent-ve-gayrettepe-ye-yakin-yeni-binada-11-daire-18559048
2025-12-14 21:35:50,40.000 TL,40.0,0.62,Şişli - Mecidiyeköy Mahallesi,,Şişli - Mecidiyeköy Mahallesi,2+1,65,65,3,"ÖNE ÇIKAN
Mecidiyeköy'de Metro Metrobüse 3 Dk. 2+1 Full Eşyalı Daire
Şişli - Mecidiyeköy Mahallesi
Daire | 2+1 | 3. Kat | 65 m²
40.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/mecidiyekoy-de-metro-metrobuse-3-dk-21-full-esyali-daire-18559044
2025-12-14 21:35:50,90.000 TL,90.0,0.75,Sarıyer - Maslak Mahallesi,,Sarıyer - Maslak Mahallesi,2+1,120,120,19,"ÖNE ÇIKAN
Aylık Ödeme Mashattan 2+1 Kiralık Havuz Cephe Daire
Sarıyer - Maslak Mahallesi
Daire | 2+1 | 19. Kat | 120 m²
90.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/aylik-odeme-mashattan-21-kiralik-havuz-cephe-daire-18558327
2025-12-14 21:35:51,25.000 TL,25.0,0.29,Fatih - Haseki Sultan Mahallesi,,Fatih - Haseki Sultan Mahallesi,2+1,85,85,2,"ÖNE ÇIKAN
Fatih Cerrahpaşa Mah. Merkezi Konumda Eşyalı 2+1 Kiralık Daire
Fatih - Haseki Sultan Mahallesi
Daire | 2+1 | 2. Kat | 85 m²
25.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/fatih-cerrahpasa-mah-merkezi-konumda-esyali-21-kiralik-daire-18547071
2025-12-14 21:35:51,18.000 TL,18.0,0.18,Sancaktepe - Abdurrahmangazi Mahallesi,,Sancaktepe - Abdurrahmangazi Mahallesi,2+1,100,100,1,"ÖNE ÇIKAN
2+1 Kiralık Temiz Ferah Daire
Sancaktepe - Abdurrahmangazi Mahallesi
Daire | 2+1 | 1. Kat | 100 m²
18.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/21-kiralik-temiz-ferah-daire-18544452
2025-12-14 21:35:51,115.000 TL,115.0,0.52,Sarıyer - Maslak Mahallesi,,Sarıyer - Maslak Mahallesi,3+1,220,220,Çatı,"ÖNE ÇIKAN
Maslak 1453 3+1 Eşyalı Yüksek Tavan Fırsat Daire
Sarıyer - Maslak Mahallesi
Daire | 3+1 | Kot 1 (-1). Kat | 220 m²
115.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/maslak-1453-31-esyali-yuksek-tavan-firsat-daire-18543816
2025-12-14 21:35:51,55.000 TL,55.0,1.0,Sarıyer - Huzur Mahallesi,,Sarıyer - Huzur Mahallesi,1+0,55,55,14,"ÖNE ÇIKAN
Skyland İstanbul • 1+0 • Yüksek Kat • Temiz – Kiralık
Sarıyer - Huzur Mahallesi
Daire | Stüdyo | 14. Kat | 55 m²
55.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/skyland-istanbul-10-yuksek-kat-temiz-kiralik-18543807
