Tarih,Fiyat,Fiyat_Sayisal,Konum,Semt,Mahalle,Oda_Sayisi,Kat,Brut_Alan_m2,Detaylar,URL
2025-12-14 21:35:02,27.500 TL,27.5,Sultanbeyli - Hamidiye Mahallesi,Sultanbeyli - Hamidiye Mahallesi,,3+1,3,130,"ÖNE ÇIKAN
YENİ
Çevik Yapı Emlaktan Kiralık Daire 3+1
Sultanbeyli - Hamidiye Mahallesi
Daire | 3+1 | 3. Kat | 130 m²
27.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/cevik-yapi-emlaktan-kiralik-daire-31-18616381
2025-12-14 21:35:02,32.000 TL,32.0,Çekmeköy - Mimar Sinan Mahallesi,Çekmeköy - Mimar Sinan Mahallesi,,2+1,,110,"ÖNE ÇIKAN
Çavuşbaşı Cd.'ne Paralel ,2+1 , Müstakil Teraslı , Keyifli Daire
Çekmeköy - Mimar Sinan Mahallesi
Daire | 2+1 | Bahçe katı | 110 m²
32.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/cavusbasi-cd-ne-paralel-21-mustakil-terasli-keyifli-daire-18588068
2025-12-14 21:35:02,20.000 TL,20.0,Küçükçekmece - Söğütlü Çeşme Mahallesi,Küçükçekmece - Söğütlü Çeşme Mahallesi,,1+1,Zemin,60,"ÖNE ÇIKAN
Evalmak'tan Söğütlçeşme Mah.de Kiralık 1+1 Açık Mutfak Daire
Küçükçekmece - Söğütlü Çeşme Mahallesi
Daire | 1+1 | Yüksek giriş | 60 m²
20.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/evalmak-tan-sogutlcesme-mah-de-kiralik-11-acik-mutfak-daire-18585069
2025-12-14 21:35:02,52.000 TL,52.0,Kartal - Orhantepe Mahallesi,Kartal - Orhantepe Mahallesi,,2+1,3,75,"Aramanıza uygun yeni bir ilan yayınlandığında ilk sizin haberiniz olsun.
Aramayı Kaydet
ÖNE ÇIKAN
Kartal Dragos'ta Prava Sitesinde Şahane 2+1 Kiralık Dairemiz
Kartal - Orhantepe Mahallesi
Daire | 2+1 | 3. Kat | 75 m²
52.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/kartal-dragos-ta-prava-sitesinde-sahane-21-kiralik-dairemiz-18583321
2025-12-14 21:35:03,50.000 TL,50.0,Şişli - 19 Mayıs Mahallesi,Şişli - 19 Mayıs Mahallesi,,1+1,3,60,"ÖNE ÇIKAN
Şişli-19 Mayıs'da Yeni Bina'da Eşyalı Fırsat 1+1 Daire
Şişli - 19 Mayıs Mahallesi
Daire | 1+1 | 3. Kat | 60 m²
50.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/sisli-19-mayis-da-yeni-bina-da-esyali-firsat-11-daire-18582973
2025-12-14 21:35:03,İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL,32.0,Kağıthane - Telsizler Mahallesi,Kağıthane - Telsizler Mahallesi,,1+1,3,50,"İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL
Bölge Raporunu İncele
ÖNE ÇIKAN
+eşyalı+cadde'ye 20m Mesaf Levent'e Ve Ulaşım'a Yakın Arakt 1+1
Kağıthane - Telsizler Mahallesi
Daire | 1+1 | 3. Kat | 50 m²
26.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/esyalicadde-ye-20m-mesaf-levent-e-ve-ulasim-a-yakin-arakt-11-18559081
2025-12-14 21:35:03,23.000 TL,23.0,Kağıthane - Telsizler Mahallesi,Kağıthane - Telsizler Mahallesi,,2+1,4,80,"ÖNE ÇIKAN
Merkezi Lokasyonda Ulaşım Sorunu Olmayan Arakat Ayrı Mutfaklı2+1
Kağıthane - Telsizler Mahallesi
Daire | 2+1 | 4. Kat | 80 m²
23.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/merkezi-lokasyonda-ulasim-sorunu-olmayan-arakat-ayri-mutfakli21-18559075
2025-12-14 21:35:03,27.500 TL,27.5,Şişli - Gülbahar Mahallesi,Şişli - Gülbahar Mahallesi,,1+1,4,60,"ÖNE ÇIKAN
Levent Ve Gayrettepe'ye Yakın Yeni Binada 1+1 Daire
Şişli - Gülbahar Mahallesi
Daire | 1+1 | 4. Kat | 60 m²
27.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/levent-ve-gayrettepe-ye-yakin-yeni-binada-11-daire-18559048
2025-12-14 21:35:03,40.000 TL,40.0,Şişli - Mecidiyeköy Mahallesi,Şişli - Mecidiyeköy Mahallesi,,2+1,3,65,"ÖNE ÇIKAN
Mecidiyeköy'de Metro Metrobüse 3 Dk. 2+1 Full Eşyalı Daire
Şişli - Mecidiyeköy Mahallesi
Daire | 2+1 | 3. Kat | 65 m²
40.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/mecidiyekoy-de-metro-metrobuse-3-dk-21-full-esyali-daire-18559044
2025-12-14 21:35:03,90.000 TL,90.0,Sarıyer - Maslak Mahallesi,Sarıyer - Maslak Mahallesi,,2+1,19,120,"ÖNE ÇIKAN
Aylık Ödeme Mashattan 2+1 Kiralık Havuz Cephe Daire
Sarıyer - Maslak Mahallesi
Daire | 2+1 | 19. Kat | 120 m²
90.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/aylik-odeme-mashattan-21-kiralik-havuz-cephe-daire-18558327
